audio,label
54,1
62,1
69,1
60,1
61,1
65,1
54,1
43,1
47,1
41,1
34,1
26,1
19,1
18,1
13,1
12,1
6,1
6,1
-5,1
-11,1
-4,1
-11,1
-14,1
-10,1
-7,1
-8,1
-6,1
-4,1
-10,1
-11,1
-9,1
-13,1
-10,1
-3,1
-12,1
2,1
6,1
1,1
4,1
3,1
-2,1
-7,1
-5,1
-16,1
-22,1
-16,1
-21,1
-31,1
-34,1
-42,1
-54,1
-52,1
-47,1
-57,1
-59,1
-49,1
-49,1
-50,1
-39,1
-35,1
-42,1
-31,1
-18,1
57,1
66,1
80,1
54,1
52,1
57,1
58,1
52,1
51,1
46,1
40,1
27,1
19,1
24,1
19,1
10,1
3,1
1,1
-3,1
-1,1
10,1
20,1
24,1
28,1
32,1
23,1
23,1
27,1
36,1
34,1
34,1
34,1
33,1
37,1
42,1
34,1
31,1
23,1
13,1
16,1
8,1
-5,1
-8,1
-10,1
-14,1
-14,1
-8,1
-8,1
-15,1
2,1
13,1
17,1
31,1
40,1
47,1
61,1
72,1
73,1
83,1
98,1
112,1
112,1
122,1
123,1
117,1
114,1
113,1
105,1
100,1
98,1
89,1
88,1
80,1
70,1
65,1
55,1
38,1
26,1
13,1
-77,1
-77,1
-73,1
-64,1
-68,1
-71,1
-69,1
-59,1
-57,1
-51,1
-49,1
-43,1
-38,1
-46,1
-43,1
-45,1
-60,1
-62,1
-65,1
-68,1
-72,1
-79,1
-88,1
-84,1
-85,1
-96,1
-100,1
-89,1
-93,1
-85,1
-64,1
-51,1
-45,1
-16,1
-2,1
3,1
21,1
41,1
38,1
46,1
64,1
75,1
77,1
89,1
94,1
86,1
80,1
78,1
71,1
69,1
69,1
51,1
58,1
59,1
45,1
35,1
39,1
18,1
7,1
6,1
-4,1
-8,1
-2,1
72,1
62,1
45,1
42,1
15,1
13,1
32,1
32,1
27,1
16,1
31,1
24,1
26,1
43,1
20,1
-10,1
-27,1
-34,1
-11,1
-44,1
-75,1
-66,1
-73,1
-50,1
-79,1
-70,1
-36,1
-30,1
-16,1
-1,1
-7,1
20,1
29,1
25,1
39,1
39,1
36,1
34,1
56,1
48,1
43,1
59,1
57,1
76,1
57,1
53,1
58,1
70,1
41,1
27,1
33,1
15,1
25,1
8,1
24,1
23,1
36,1
32,1
26,1
27,1
31,1
28,1
-10,1
32,1
5,1
-44,1
3,1
10,1
-19,1
-8,1
-4,1
20,1
18,1
-15,1
-11,1
-4,1
-55,1
-34,1
-25,1
-72,1
-86,1
-58,1
-54,1
-54,1
-59,1
-65,1
-65,1
-70,1
-58,1
-80,1
-63,1
-86,1
-64,1
-47,1
-61,1
-42,1
-7,1
-2,1
6,1
29,1
41,1
29,1
29,1
52,1
56,1
18,1
9,1
45,1
16,1
40,1
50,1
25,1
16,1
22,1
16,1
29,1
21,1
24,1
26,1
26,1
36,1
38,1
37,1
35,1
43,1
37,1
27,1
29,1
34,1
35,1
17,1
12,1
16,1
0,1
-4,1
-7,1
-9,1
-22,1
-20,1
-28,1
-43,1
-40,1
-39,1
-31,1
-38,1
-27,1
-30,1
-32,1
-33,1
-34,1
-35,1
-40,1
-25,1
-24,1
-28,1
-31,1
-24,1
-31,1
-34,1
-35,1
-41,1
-37,1
-40,1
-35,1
-42,1
-42,1
-42,1
-40,1
-43,1
-42,1
-38,1
-48,1
-37,1
-37,1
-38,1
-25,1
-22,1
-17,1
-7,1
-12,1
-4,1
-54,1
-54,1
-29,1
-56,1
-68,1
-46,1
-41,1
-30,1
-25,1
-28,1
-22,1
-17,1
6,1
-4,1
-14,1
-18,1
15,1
14,1
16,1
7,1
-7,1
14,1
16,1
1,1
-2,1
-4,1
1,1
0,1
19,1
2,1
-13,1
-13,1
-5,1
0,1
-3,1
-7,1
-21,1
-11,1
-3,1
-6,1
-30,1
-27,1
-30,1
-18,1
-13,1
-27,1
-16,1
-7,1
3,1
18,1
13,1
15,1
26,1
23,1
16,1
3,1
4,1
6,1
11,1
7,1
3,1
4,1
4,1
8,1
2,1
-4,1
-17,1
-7,1
-16,1
13,1
3,1
-3,1
-3,1
-22,1
-26,1
-40,1
-51,1
-45,1
-45,1
-50,1
-52,1
-41,1
-34,1
-37,1
-33,1
-23,1
-14,1
-19,1
-27,1
-27,1
-14,1
-4,1
5,1
7,1
8,1
12,1
19,1
23,1
19,1
14,1
22,1
16,1
17,1
27,1
17,1
17,1
21,1
17,1
14,1
25,1
10,1
9,1
12,1
14,1
-4,1
1,1
10,1
4,1
5,1
11,1
14,1
5,1
12,1
5,1
3,1
10,1
11,1
9,1
15,1
14,1
30,1
28,1
21,1
28,1
29,1
24,1
7,1
13,1
-1,1
-15,1
-20,1
-18,1
-24,1
-38,1
-38,1
-38,1
-33,1
-37,1
-36,1
-35,1
-33,1
-38,1
-39,1
-36,1
-35,1
-30,1
