aX,aY,aZ,label
-0.88,-0.25,-0.32,4
-0.87,-0.15,0.30,4
-0.89,-0.08,0.31,4
-0.90,0.00,0.37,4
-0.88,0.02,0.48,4
-0.88,0.07,0.38,4
-0.91,0.20,0.24,4
-0.93,-0.03,0.26,4
-0.93,-0.20,0.14,4
-0.94,-0.27,0.07,4
-0.93,-0.21,0.07,4
-0.92,-0.09,0.19,4
-0.98,-0.04,0.28,4
-0.97,-0.03,0.24,4
-0.93,0.02,0.18,4
-0.94,-0.00,0.19,4
-0.91,-0.17,0.09,4
-0.96,-0.18,0.21,4
-0.92,-0.15,0.28,4
-0.89,-0.08,0.31,4
-0.80,-0.10,0.33,4
-0.69,-0.31,0.48,4
-0.22,0.19,1.07,4
-0.19,0.26,1.07,4
-0.06,0.23,0.99,4
0.09,0.18,1.00,4
0.14,0.16,0.98,4
0.22,0.18,0.97,4
0.24,0.10,1.01,4
0.23,0.09,0.97,4
0.25,0.14,0.97,4
0.24,0.15,0.95,4
0.25,0.17,0.98,4
0.24,0.19,0.99,4
0.22,0.17,0.97,4
0.31,-0.09,1.85,4
-0.22,0.79,0.15,4
0.34,1.55,-0.67,4
0.08,0.91,-0.53,4
0.04,0.75,-0.71,4
0.07,0.77,-0.61,4
0.08,0.74,-0.67,4
0.06,0.59,-0.87,4
0.07,0.37,-0.91,4
0.09,0.37,-0.93,4
0.07,0.23,-0.95,4
0.08,0.16,-0.95,4
0.08,0.15,-0.98,4
0.09,0.18,-0.97,4
0.11,0.20,-0.98,4
0.09,0.15,-0.96,4
0.10,0.15,-0.99,4
0.10,0.12,-0.98,4
0.10,0.13,-1.01,4
0.09,0.13,-0.98,4
0.10,0.09,-0.98,4
0.09,0.07,-1.00,4
0.09,-0.12,-0.98,4
0.11,-0.11,-1.02,4
0.11,-0.01,-1.07,4
0.08,-0.85,-1.45,4
-0.19,-1.04,-0.52,4
-0.78,0.41,0.21,4
-0.74,0.62,0.21,4
-0.75,0.47,0.05,4
-0.84,0.39,0.28,4
-0.87,0.33,0.19,4
-0.89,0.31,0.21,4
-0.89,0.30,0.09,4
-0.92,0.22,0.12,4
-0.93,0.26,0.14,4
-0.93,0.25,0.12,4
-0.94,0.30,0.03,4
-0.42,0.97,0.57,4
1.00,-1.49,-0.54,4
0.78,0.13,-0.20,4
0.98,-0.41,0.20,4
