aX,aY,aZ,label
-0.11060,-0.83667,0.52527,3
-0.10327,-0.82666,0.51196,3
-0.09448,-0.83704,0.54041,3
-0.09058,-0.84363,0.55835,3
-0.11304,-0.85840,0.55298,3
-0.09180,-0.80981,0.57397,3
-0.09607,-0.84229,0.56702,3
-0.11560,-0.82715,0.57544,3
-0.06934,-0.78931,0.61682,3
-0.10388,-0.79248,0.60840,3
-0.09583,-0.79260,0.60986,3
-0.09607,-0.80017,0.59729,3
-0.10352,-0.76282,0.58057,3
-0.09045,-0.79858,0.62488,3
-0.08728,-0.78687,0.61963,3
-0.09338,-0.80725,0.60437,3
-0.08325,-0.77576,0.59863,3
-0.08691,-0.78003,0.60242,3
-0.07642,-0.78711,0.61707,3
-0.08276,-0.80835,0.60095,3
-0.07617,-0.81689,0.60889,3
-0.07544,-0.79468,0.60706,3
-0.07166,-0.79834,0.61536,3
-0.08704,-0.78455,0.60693,3
-0.10107,-0.78125,0.62329,3
-0.09509,-0.73608,0.66956,3
-0.10132,-0.68884,0.72461,3
-0.09216,-0.56152,0.74927,3
-0.07959,-0.54272,0.83948,3
-0.07312,-0.47803,0.93750,3
-0.08765,-0.41541,0.90112,3
-0.09351,-0.36609,0.90869,3
-0.08618,-0.27502,0.96082,3
-0.09497,-0.33459,0.93787,3
-0.12708,-0.55847,0.86401,3
-0.12720,-0.62244,0.76208,3
-0.15698,-0.72876,0.67737,3
-0.15442,-0.78259,0.62549,3
-0.16443,-0.79858,0.57568,3
-0.17603,-0.80212,0.58301,3
-0.17627,-0.81689,0.62769,3
-0.18286,-0.77698,0.63550,3
-0.15686,-0.67566,0.70667,3
-0.15686,-0.61353,0.77478,3
-0.15027,-0.55444,0.82703,3
-0.13318,-0.48376,0.88525,3
-0.14563,-0.41003,0.83228,3
-0.17090,-0.55798,0.82080,3
-0.21912,-0.68494,0.72437,3
-0.23682,-0.74817,0.63684,3
-0.20435,-0.75146,0.71399,3
-0.15125,-0.58020,0.74036,3
-0.08276,-0.64722,0.70972,3
-0.05322,-0.70959,0.77393,3
-0.02014,-0.65076,0.89526,3
0.05786,-0.55750,0.89233,3
0.07544,-0.39978,0.85352,3
0.03699,-0.58850,0.89600,3
-0.01208,-0.59705,0.75110,3
-0.12830,-0.64331,0.74500,3
-0.20850,-0.67102,0.72815,3
-0.24194,-0.70361,0.72986,3
-0.23364,-0.64893,0.82581,3
-0.22876,-0.48462,0.83569,3
-0.23291,-0.46716,0.87000,3
-0.21240,-0.45996,0.88464,3
-0.20654,-0.48596,0.84766,3
-0.19409,-0.59692,0.71277,3
-0.19495,-0.69263,0.66724,3
-0.17334,-0.77502,0.65405,3
-0.17822,-0.81299,0.56396,3
-0.14722,-0.80981,0.55042,3
-0.14148,-0.89111,0.47144,3
-0.14380,-0.89941,0.37427,3
-0.15002,-0.88635,0.28186,3
-0.14978,-0.98779,0.17285,3
-0.15039,-0.91431,0.09937,3
-0.13806,-0.98535,0.04163,3
-0.15735,-1.01294,-0.03247,3
-0.15027,-0.94446,-0.05005,3
-0.16174,-0.96643,-0.10339,3
-0.18127,-0.96997,-0.20386,3
-0.17480,-0.97302,-0.19165,3
-0.14697,-0.98511,-0.00342,3
-0.13477,-1.01294,0.19983,3
-0.16467,-0.93176,0.24146,3
-0.13440,-0.89783,0.36389,3
-0.13330,-0.79944,0.46948,3
