customer,activity,createdAt,x,y,z
1,0,Thu Nov 13 2025 07:19:15 GMT+0700 (Indochina Time),0.08,0.96,-0.26
1,0,Thu Nov 13 2025 07:19:15 GMT+0700 (Indochina Time),0.08,0.96,-0.26
1,0,Thu Nov 13 2025 07:19:15 GMT+0700 (Indochina Time),0.08,0.95,-0.25
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.09,0.95,-0.24
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.97,-0.26
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.96,-0.25
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.95,-0.25
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.94,-0.26
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.95,-0.25
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.08,0.93,-0.25
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.19,1.07,-0.48
1,0,Thu Nov 13 2025 07:19:16 GMT+0700 (Indochina Time),0.15,0.82,-0.45
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.09,0.77,-0.36
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.11,1.01,-0.37
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.03,0.76,-0.27
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),-0.05,0.57,-0.39
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.15,0.94,-0.01
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.15,1.06,-0.22
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.25,0.89,-0.32
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.18,0.94,-0.19
1,0,Thu Nov 13 2025 07:19:17 GMT+0700 (Indochina Time),0.09,0.74,-0.27
1,0,Thu Nov 13 2025 07:19:18 GMT+0700 (Indochina Time),0.2,1.1,-0.07
1,0,Thu Nov 13 2025 07:19:18 GMT+0700 (Indochina Time),0.15,0.87,-0.26
1,0,Thu Nov 13 2025 07:19:18 GMT+0700 (Indochina Time),0.13,0.93,-0.55
1,0,Thu Nov 13 2025 07:19:18 GMT+0700 (Indochina Time),0.12,0.91,-0.4
