customer,activity,createdAt,x,y,z
113,1,Mon Dec 25 2023 05:55:05 GMT+0700 (Indochina Time),0.062,0.634,0.702
113,1,Mon Dec 25 2023 05:55:06 GMT+0700 (Indochina Time),0.031,0.634,0.702
113,1,Mon Dec 25 2023 05:55:07 GMT+0700 (Indochina Time),-0.043,0.638,0.7
113,1,Mon Dec 25 2023 05:55:08 GMT+0700 (Indochina Time),-0.037,0.637,0.696
113,1,Mon Dec 25 2023 05:55:08 GMT+0700 (Indochina Time),-0.041,0.631,0.704
113,1,Mon Dec 25 2023 05:55:10 GMT+0700 (Indochina Time),-0.041,0.628,0.708
113,1,Mon Dec 25 2023 05:55:11 GMT+0700 (Indochina Time),-0.041,0.625,0.711
113,1,Mon Dec 25 2023 05:55:12 GMT+0700 (Indochina Time),-0.042,0.627,0.71
113,1,Mon Dec 25 2023 05:55:12 GMT+0700 (Indochina Time),-0.043,0.629,0.709
113,1,Mon Dec 25 2023 05:55:14 GMT+0700 (Indochina Time),-0.049,0.624,0.714
113,1,Mon Dec 25 2023 05:55:14 GMT+0700 (Indochina Time),-0.05,0.624,0.713
113,1,Mon Dec 25 2023 05:55:14 GMT+0700 (Indochina Time),-0.051,0.625,0.712
113,1,Mon Dec 25 2023 05:55:17 GMT+0700 (Indochina Time),-0.06,0.531,0.78
113,1,Mon Dec 25 2023 05:55:18 GMT+0700 (Indochina Time),-0.059,0.528,0.772
113,1,Mon Dec 25 2023 05:55:18 GMT+0700 (Indochina Time),-0.066,0.528,0.775
113,1,Mon Dec 25 2023 05:55:18 GMT+0700 (Indochina Time),-0.066,0.533,0.772
113,1,Mon Dec 25 2023 05:55:19 GMT+0700 (Indochina Time),-0.078,0.544,0.766
113,1,Mon Dec 25 2023 05:55:20 GMT+0700 (Indochina Time),-0.062,0.539,0.769
113,1,Mon Dec 25 2023 05:55:20 GMT+0700 (Indochina Time),-0.062,0.539,0.77
113,1,Mon Dec 25 2023 05:55:20 GMT+0700 (Indochina Time),-0.061,0.537,0.772
113,1,Mon Dec 25 2023 05:55:21 GMT+0700 (Indochina Time),-0.06,0.538,0.771
113,1,Mon Dec 25 2023 05:55:21 GMT+0700 (Indochina Time),-0.058,0.53,0.779
113,1,Mon Dec 25 2023 05:55:21 GMT+0700 (Indochina Time),-0.062,0.517,0.782
113,1,Mon Dec 25 2023 05:55:22 GMT+0700 (Indochina Time),-0.063,0.502,0.792
113,1,Mon Dec 25 2023 05:55:22 GMT+0700 (Indochina Time),-0.063,0.506,0.798
113,1,Mon Dec 25 2023 05:55:23 GMT+0700 (Indochina Time),-0.079,0.511,0.787
113,1,Mon Dec 25 2023 05:55:23 GMT+0700 (Indochina Time),-0.085,0.511,0.785
113,1,Mon Dec 25 2023 05:55:24 GMT+0700 (Indochina Time),-0.092,0.519,0.777
113,1,Mon Dec 25 2023 05:55:25 GMT+0700 (Indochina Time),-0.118,0.518,0.774
113,1,Mon Dec 25 2023 05:55:25 GMT+0700 (Indochina Time),-0.119,0.518,0.774
113,1,Mon Dec 25 2023 05:55:26 GMT+0700 (Indochina Time),-0.12,0.518,0.773
113,1,Mon Dec 25 2023 05:55:27 GMT+0700 (Indochina Time),-0.072,0.522,0.776
113,1,Mon Dec 25 2023 05:55:30 GMT+0700 (Indochina Time),-0.081,0.521,0.778
113,1,Mon Dec 25 2023 05:55:31 GMT+0700 (Indochina Time),-0.085,0.521,0.778
113,1,Mon Dec 25 2023 05:55:31 GMT+0700 (Indochina Time),-0.086,0.52,0.778
113,1,Mon Dec 25 2023 05:55:32 GMT+0700 (Indochina Time),-0.086,0.517,0.781
113,1,Mon Dec 25 2023 05:55:33 GMT+0700 (Indochina Time),-0.106,0.513,0.782
113,1,Mon Dec 25 2023 05:55:03 GMT+0700 (Indochina Time),0.192,0.457,0.821
113,1,Mon Dec 25 2023 05:55:33 GMT+0700 (Indochina Time),-0.11,0.513,0.782
113,1,Mon Dec 25 2023 05:55:35 GMT+0700 (Indochina Time),-0.136,0.511,0.779
113,1,Mon Dec 25 2023 05:55:35 GMT+0700 (Indochina Time),-0.141,0.511,0.777
113,1,Mon Dec 25 2023 05:55:04 GMT+0700 (Indochina Time),0.193,0.46,0.822
113,1,Mon Dec 25 2023 05:55:35 GMT+0700 (Indochina Time),-0.141,0.511,0.777
113,1,Mon Dec 25 2023 05:55:04 GMT+0700 (Indochina Time),0.19,0.46,0.822
113,1,Mon Dec 25 2023 05:55:37 GMT+0700 (Indochina Time),-0.141,0.511,0.776
113,1,Mon Dec 25 2023 05:55:04 GMT+0700 (Indochina Time),0.188,0.461,0.823
113,1,Mon Dec 25 2023 05:55:05 GMT+0700 (Indochina Time),0.004,0.653,0.698
113,1,Mon Dec 25 2023 05:55:37 GMT+0700 (Indochina Time),-0.143,0.511,0.776
113,1,Mon Dec 25 2023 05:55:38 GMT+0700 (Indochina Time),-0.142,0.511,0.774
113,1,Mon Dec 25 2023 05:55:07 GMT+0700 (Indochina Time),-0.043,0.64,0.698
113,1,Mon Dec 25 2023 05:55:08 GMT+0700 (Indochina Time),-0.039,0.636,0.7
113,1,Mon Dec 25 2023 05:55:39 GMT+0700 (Indochina Time),-0.143,0.511,0.775
113,1,Mon Dec 25 2023 05:55:41 GMT+0700 (Indochina Time),-0.139,0.497,0.789
113,1,Mon Dec 25 2023 05:55:09 GMT+0700 (Indochina Time),-0.042,0.627,0.706
113,1,Mon Dec 25 2023 05:55:41 GMT+0700 (Indochina Time),-0.133,0.491,0.793
113,1,Mon Dec 25 2023 05:55:09 GMT+0700 (Indochina Time),-0.043,0.631,0.707
113,1,Mon Dec 25 2023 05:55:43 GMT+0700 (Indochina Time),-0.152,0.501,0.783
113,1,Mon Dec 25 2023 05:55:03 GMT+0700 (Indochina Time),0.193,0.459,0.821
113,1,Mon Dec 25 2023 05:55:09 GMT+0700 (Indochina Time),-0.043,0.626,0.708
113,1,Mon Dec 25 2023 05:55:43 GMT+0700 (Indochina Time),-0.152,0.504,0.78
113,1,Mon Dec 25 2023 05:55:04 GMT+0700 (Indochina Time),0.182,0.468,0.818
113,1,Mon Dec 25 2023 05:55:10 GMT+0700 (Indochina Time),-0.042,0.629,0.707
113,1,Mon Dec 25 2023 05:55:05 GMT+0700 (Indochina Time),0.037,0.683,0.68
113,1,Mon Dec 25 2023 05:55:43 GMT+0700 (Indochina Time),-0.149,0.509,0.778
113,1,Mon Dec 25 2023 05:55:44 GMT+0700 (Indochina Time),-0.147,0.51,0.776
113,1,Mon Dec 25 2023 05:55:10 GMT+0700 (Indochina Time),-0.041,0.627,0.71
113,1,Mon Dec 25 2023 05:55:05 GMT+0700 (Indochina Time),0.011,0.641,0.698
113,1,Mon Dec 25 2023 05:55:44 GMT+0700 (Indochina Time),-0.147,0.509,0.776
113,1,Mon Dec 25 2023 05:55:06 GMT+0700 (Indochina Time),0.009,0.635,0.701
113,1,Mon Dec 25 2023 05:55:11 GMT+0700 (Indochina Time),-0.041,0.624,0.712
113,1,Mon Dec 25 2023 05:55:11 GMT+0700 (Indochina Time),-0.041,0.626,0.711
113,1,Mon Dec 25 2023 05:55:46 GMT+0700 (Indochina Time),-0.15,0.513,0.773
113,1,Mon Dec 25 2023 05:55:07 GMT+0700 (Indochina Time),-0.038,0.636,0.701
113,1,Mon Dec 25 2023 05:55:07 GMT+0700 (Indochina Time),-0.039,0.638,0.697
113,1,Mon Dec 25 2023 05:55:12 GMT+0700 (Indochina Time),-0.042,0.627,0.71
113,1,Mon Dec 25 2023 05:55:49 GMT+0700 (Indochina Time),-0.153,0.513,0.772
113,1,Mon Dec 25 2023 05:55:08 GMT+0700 (Indochina Time),-0.041,0.625,0.704
113,1,Mon Dec 25 2023 05:55:49 GMT+0700 (Indochina Time),-0.155,0.512,0.771
113,1,Mon Dec 25 2023 05:55:12 GMT+0700 (Indochina Time),-0.043,0.628,0.71
113,1,Mon Dec 25 2023 05:55:14 GMT+0700 (Indochina Time),-0.05,0.629,0.71
113,1,Mon Dec 25 2023 05:55:08 GMT+0700 (Indochina Time),-0.041,0.629,0.704
113,1,Mon Dec 25 2023 05:55:50 GMT+0700 (Indochina Time),-0.156,0.512,0.771
113,1,Mon Dec 25 2023 05:55:52 GMT+0700 (Indochina Time),-0.157,0.51,0.771
113,1,Mon Dec 25 2023 05:55:15 GMT+0700 (Indochina Time),-0.061,0.557,0.75
113,1,Mon Dec 25 2023 05:55:10 GMT+0700 (Indochina Time),-0.042,0.629,0.707
113,1,Mon Dec 25 2023 05:55:52 GMT+0700 (Indochina Time),-0.158,0.51,0.771
113,1,Mon Dec 25 2023 05:55:10 GMT+0700 (Indochina Time),-0.042,0.631,0.707
113,1,Mon Dec 25 2023 05:55:17 GMT+0700 (Indochina Time),-0.059,0.533,0.784
113,1,Mon Dec 25 2023 05:55:17 GMT+0700 (Indochina Time),-0.061,0.53,0.776
113,1,Mon Dec 25 2023 05:55:55 GMT+0700 (Indochina Time),-0.074,0.596,0.733
113,1,Mon Dec 25 2023 05:55:11 GMT+0700 (Indochina Time),-0.041,0.624,0.711
113,1,Mon Dec 25 2023 05:55:12 GMT+0700 (Indochina Time),-0.043,0.628,0.709
113,1,Mon Dec 25 2023 05:55:17 GMT+0700 (Indochina Time),-0.061,0.528,0.773
113,1,Mon Dec 25 2023 05:55:57 GMT+0700 (Indochina Time),-0.14,0.52,0.766
113,1,Mon Dec 25 2023 05:55:14 GMT+0700 (Indochina Time),-0.05,0.626,0.712
113,1,Mon Dec 25 2023 05:56:00 GMT+0700 (Indochina Time),-0.146,0.512,0.773
113,1,Mon Dec 25 2023 05:55:18 GMT+0700 (Indochina Time),-0.06,0.526,0.772
113,1,Mon Dec 25 2023 05:55:19 GMT+0700 (Indochina Time),-0.067,0.536,0.77
113,1,Mon Dec 25 2023 05:55:15 GMT+0700 (Indochina Time),-0.042,0.593,0.725
113,1,Mon Dec 25 2023 05:55:15 GMT+0700 (Indochina Time),-0.065,0.541,0.766
113,1,Mon Dec 25 2023 05:55:21 GMT+0700 (Indochina Time),-0.059,0.535,0.774
113,1,Mon Dec 25 2023 05:55:22 GMT+0700 (Indochina Time),-0.062,0.512,0.782
113,1,Mon Dec 25 2023 05:55:16 GMT+0700 (Indochina Time),-0.064,0.529,0.774
113,1,Mon Dec 25 2023 05:55:23 GMT+0700 (Indochina Time),-0.074,0.509,0.79
113,1,Mon Dec 25 2023 05:55:16 GMT+0700 (Indochina Time),-0.064,0.529,0.775
113,1,Mon Dec 25 2023 05:55:23 GMT+0700 (Indochina Time),-0.091,0.516,0.782
113,1,Mon Dec 25 2023 05:55:25 GMT+0700 (Indochina Time),-0.117,0.518,0.773
113,1,Mon Dec 25 2023 05:55:16 GMT+0700 (Indochina Time),-0.064,0.53,0.775
113,1,Mon Dec 25 2023 05:55:16 GMT+0700 (Indochina Time),-0.064,0.53,0.775
113,1,Mon Dec 25 2023 05:55:25 GMT+0700 (Indochina Time),-0.119,0.518,0.774
113,1,Mon Dec 25 2023 05:55:26 GMT+0700 (Indochina Time),-0.119,0.519,0.774
113,1,Mon Dec 25 2023 05:55:17 GMT+0700 (Indochina Time),-0.06,0.53,0.778
113,1,Mon Dec 25 2023 05:55:27 GMT+0700 (Indochina Time),-0.069,0.524,0.774
113,1,Mon Dec 25 2023 05:55:18 GMT+0700 (Indochina Time),-0.064,0.525,0.776
113,1,Mon Dec 25 2023 05:55:28 GMT+0700 (Indochina Time),-0.078,0.522,0.777
113,1,Mon Dec 25 2023 05:55:30 GMT+0700 (Indochina Time),-0.084,0.521,0.778
113,1,Mon Dec 25 2023 05:55:19 GMT+0700 (Indochina Time),-0.067,0.536,0.771
113,1,Mon Dec 25 2023 05:55:30 GMT+0700 (Indochina Time),-0.085,0.52,0.778
113,1,Mon Dec 25 2023 05:55:19 GMT+0700 (Indochina Time),-0.061,0.536,0.77
113,1,Mon Dec 25 2023 05:55:31 GMT+0700 (Indochina Time),-0.085,0.521,0.778
113,1,Mon Dec 25 2023 05:55:19 GMT+0700 (Indochina Time),-0.042,0.541,0.768
113,1,Mon Dec 25 2023 05:55:32 GMT+0700 (Indochina Time),-0.086,0.518,0.78
113,1,Mon Dec 25 2023 05:55:32 GMT+0700 (Indochina Time),-0.088,0.515,0.783
113,1,Mon Dec 25 2023 05:55:20 GMT+0700 (Indochina Time),-0.061,0.537,0.77
113,1,Mon Dec 25 2023 05:55:22 GMT+0700 (Indochina Time),-0.063,0.507,0.784
113,1,Mon Dec 25 2023 05:55:33 GMT+0700 (Indochina Time),-0.088,0.514,0.783
113,1,Mon Dec 25 2023 05:55:33 GMT+0700 (Indochina Time),-0.096,0.513,0.783
113,1,Mon Dec 25 2023 05:55:23 GMT+0700 (Indochina Time),-0.069,0.508,0.794
113,1,Mon Dec 25 2023 05:55:24 GMT+0700 (Indochina Time),-0.095,0.52,0.775
113,1,Mon Dec 25 2023 05:55:34 GMT+0700 (Indochina Time),-0.13,0.512,0.779
113,1,Mon Dec 25 2023 05:55:35 GMT+0700 (Indochina Time),-0.137,0.511,0.779
113,1,Mon Dec 25 2023 05:55:24 GMT+0700 (Indochina Time),-0.098,0.522,0.768
113,1,Mon Dec 25 2023 05:55:25 GMT+0700 (Indochina Time),-0.11,0.522,0.773
113,1,Mon Dec 25 2023 05:55:35 GMT+0700 (Indochina Time),-0.139,0.511,0.778
113,1,Mon Dec 25 2023 05:55:26 GMT+0700 (Indochina Time),-0.086,0.522,0.775
113,1,Mon Dec 25 2023 05:55:37 GMT+0700 (Indochina Time),-0.143,0.511,0.776
113,1,Mon Dec 25 2023 05:55:26 GMT+0700 (Indochina Time),-0.073,0.523,0.775
113,1,Mon Dec 25 2023 05:55:27 GMT+0700 (Indochina Time),-0.069,0.524,0.774
113,1,Mon Dec 25 2023 05:55:38 GMT+0700 (Indochina Time),-0.143,0.511,0.775
113,1,Mon Dec 25 2023 05:55:27 GMT+0700 (Indochina Time),-0.07,0.524,0.775
113,1,Mon Dec 25 2023 05:55:38 GMT+0700 (Indochina Time),-0.142,0.512,0.774
113,1,Mon Dec 25 2023 05:55:29 GMT+0700 (Indochina Time),-0.078,0.522,0.777
113,1,Mon Dec 25 2023 05:55:29 GMT+0700 (Indochina Time),-0.078,0.522,0.777
113,1,Mon Dec 25 2023 05:55:41 GMT+0700 (Indochina Time),-0.128,0.487,0.796
113,1,Mon Dec 25 2023 05:55:29 GMT+0700 (Indochina Time),-0.078,0.522,0.777
113,1,Mon Dec 25 2023 05:55:42 GMT+0700 (Indochina Time),-0.146,0.493,0.789
113,1,Mon Dec 25 2023 05:55:29 GMT+0700 (Indochina Time),-0.081,0.522,0.778
113,1,Mon Dec 25 2023 05:55:30 GMT+0700 (Indochina Time),-0.085,0.521,0.778
113,1,Mon Dec 25 2023 05:55:43 GMT+0700 (Indochina Time),-0.151,0.506,0.779
113,1,Mon Dec 25 2023 05:55:46 GMT+0700 (Indochina Time),-0.149,0.512,0.773
