customer,activity,createdAt,x,y,z
121,1,Tue Jan 16 2024 22:55:51 GMT+0000 (Coordinated Universal Time),-2.871,6.475,6.047
121,1,Tue Jan 16 2024 22:55:52 GMT+0000 (Coordinated Universal Time),-1.049,6.158,7.019
121,1,Tue Jan 16 2024 22:55:51 GMT+0000 (Coordinated Universal Time),-3.011,5.548,6.892
121,1,Tue Jan 16 2024 22:55:55 GMT+0000 (Coordinated Universal Time),-2.315,6.135,6.763
121,1,Tue Jan 16 2024 22:55:51 GMT+0000 (Coordinated Universal Time),-2.617,6.689,6.083
121,1,Tue Jan 16 2024 22:55:51 GMT+0000 (Coordinated Universal Time),-2.953,5.857,6.702
121,1,Tue Jan 16 2024 22:55:51 GMT+0000 (Coordinated Universal Time),-2.758,6.631,5.645
121,1,Tue Jan 16 2024 22:55:53 GMT+0000 (Coordinated Universal Time),-2.383,6.181,6.712
121,1,Tue Jan 16 2024 22:55:54 GMT+0000 (Coordinated Universal Time),-0.335,6.338,6.745
121,1,Tue Jan 16 2024 22:55:54 GMT+0000 (Coordinated Universal Time),0.282,6.129,7.112
121,1,Tue Jan 16 2024 22:55:57 GMT+0000 (Coordinated Universal Time),-2.284,6.001,6.836
121,1,Tue Jan 16 2024 22:56:00 GMT+0000 (Coordinated Universal Time),-2.035,5.964,6.915
121,1,Tue Jan 16 2024 22:56:04 GMT+0000 (Coordinated Universal Time),-2.507,5.968,6.731
121,1,Tue Jan 16 2024 22:56:08 GMT+0000 (Coordinated Universal Time),-2.476,5.967,6.741
121,1,Tue Jan 16 2024 22:56:08 GMT+0000 (Coordinated Universal Time),-2.474,5.966,6.75
121,1,Tue Jan 16 2024 22:56:09 GMT+0000 (Coordinated Universal Time),-2.463,5.96,6.764
121,1,Tue Jan 16 2024 22:56:12 GMT+0000 (Coordinated Universal Time),-2.354,5.919,6.844
121,1,Tue Jan 16 2024 22:56:15 GMT+0000 (Coordinated Universal Time),-2.336,5.892,6.867
121,1,Tue Jan 16 2024 22:56:15 GMT+0000 (Coordinated Universal Time),-2.332,5.89,6.871
121,1,Tue Jan 16 2024 22:56:16 GMT+0000 (Coordinated Universal Time),-2.328,5.891,6.853
121,1,Tue Jan 16 2024 22:56:17 GMT+0000 (Coordinated Universal Time),-2.327,5.884,6.86
121,1,Tue Jan 16 2024 22:56:17 GMT+0000 (Coordinated Universal Time),-2.325,5.883,6.859
121,1,Tue Jan 16 2024 22:56:18 GMT+0000 (Coordinated Universal Time),-2.32,5.88,6.869
121,1,Tue Jan 16 2024 22:56:19 GMT+0000 (Coordinated Universal Time),-2.311,5.882,6.874
121,1,Tue Jan 16 2024 22:56:19 GMT+0000 (Coordinated Universal Time),-2.316,5.884,6.86
121,1,Tue Jan 16 2024 22:56:20 GMT+0000 (Coordinated Universal Time),-2.318,5.883,6.862
121,1,Tue Jan 16 2024 22:56:21 GMT+0000 (Coordinated Universal Time),-2.294,5.872,6.887
121,1,Tue Jan 16 2024 22:56:26 GMT+0000 (Coordinated Universal Time),-2.278,5.843,6.918
